id,created_at,updated_at,food_id,name,unit_code,grams
d143c370-c697-5b3c-ad0a-539b738f2e65,,,1200c86a-3baa-522e-9114-ddcb9a6abadb,100g phần,GRAM,100.0
fba7d2ab-57c2-5763-acca-c52b65356ce4,,,1200c86a-3baa-522e-9114-ddcb9a6abadb,0.5 medium,GRAM,154.0
23bba2d6-8ae1-5de7-a862-bcead6f7b662,,,5d28df03-5ce4-5054-94b7-1f8e7899c5ff,100g phần,GRAM,100.0
f2e8a4de-4583-5955-bf94-4b0714bc58e4,,,5d28df03-5ce4-5054-94b7-1f8e7899c5ff,1 medium,GRAM,118.0
4b5cdaf9-6447-53d3-b717-7d41f838a4ba,,,67390939-db1f-5264-b126-1d63f5a70c71,100g phần,GRAM,100.0
c19ca6e7-9aff-52e2-ae40-92c5e92721d1,,,67390939-db1f-5264-b126-1d63f5a70c71,1 tsp,GRAM,3.0
90b038b5-c13a-50b4-9be4-c46c658d3f3f,,,ed69b335-6514-5842-9987-6b3ea34e025e,100g phần,GRAM,100.0
296a64cd-99ab-5733-ab9a-3208b9625679,,,ed69b335-6514-5842-9987-6b3ea34e025e,0.75 cup,GRAM,124.0
46dd4045-37bc-5f70-9653-d89e565cd735,,,ea65963e-fff8-5fd8-817e-70f2e183707d,100g phần,GRAM,100.0
5d3541f7-587c-5f0e-8393-97d1326e2172,,,ea65963e-fff8-5fd8-817e-70f2e183707d,1 medium,GRAM,178.0
2dd9d8a0-cbed-5654-9565-acb5fdf96ccc,,,649381fe-6af4-5bf4-8cc6-769d17fd3bf1,100g phần,GRAM,100.0
509c3949-82ab-5461-8f93-e3fbe7efdce3,,,649381fe-6af4-5bf4-8cc6-769d17fd3bf1,10 berries,GRAM,125.0
8e23a02c-f82b-594e-9ec9-4ca6e2c60f92,,,ddd59f0d-8268-5d50-b00f-051bff018f29,100g phần,GRAM,100.0
f5419ca7-d234-5468-9161-e363f67eb3f5,,,ddd59f0d-8268-5d50-b00f-051bff018f29,1 cup,GRAM,150.0
c8093211-83d8-5875-a095-28ec7f644c23,,,8c66937c-76d0-53be-acc6-283b734085e6,100g phần,GRAM,100.0
2276e832-879f-5988-a054-dfb7ad0ba266,,,8c66937c-76d0-53be-acc6-283b734085e6,1 tsp,GRAM,1.0
f8391cf5-174d-5611-aeb3-24ce59adf9a3,,,b4cb7fb5-d894-5816-95df-325e9a7264ab,100g phần,GRAM,100.0
6534e0dd-97de-5882-9ba8-0a9c7c9c03ab,,,b4cb7fb5-d894-5816-95df-325e9a7264ab,1 cup,GRAM,150.0
cd442fd0-d991-5131-9389-211e64ca0655,,,6482f46b-7897-574f-84cc-a203648bfff6,100g phần,GRAM,100.0
75caf387-1132-5e18-acb6-91a58e7b1cf8,,,6482f46b-7897-574f-84cc-a203648bfff6,1 cup,GRAM,150.0
652afef1-f948-5dac-983d-31af0a4295d6,,,05fb5431-f0b8-5c15-9102-bcc13ac851a2,100g phần,GRAM,100.0
16083fc3-50ff-528f-bcbc-bdeae56d02cd,,,05fb5431-f0b8-5c15-9102-bcc13ac851a2,1 fruit,GRAM,18.0
891b9ee0-e217-5aad-babf-eae7e4bdcea6,,,225a92d0-aadb-5b4f-ac90-7ce58c961d4d,100g phần,GRAM,100.0
1fec4d5d-7538-5fb1-aefb-888f006b3ec0,,,225a92d0-aadb-5b4f-ac90-7ce58c961d4d,1 cup,GRAM,165.0
085c690f-1cd3-5c31-9511-21c11ceba69b,,,20b3e8e3-1b0f-5734-964b-a9638793fbfb,100g phần,GRAM,100.0
4051af25-cd8f-5d1f-b12d-84304c233e7e,,,20b3e8e3-1b0f-5734-964b-a9638793fbfb,1 cup,GRAM,238.0
78821212-61ae-59f8-904f-be500f47ce69,,,a51f399f-7531-53de-b58b-bf5494e5bab6,100g phần,GRAM,100.0
e81abf29-b6f2-5012-b788-9cb86cbab214,,,a51f399f-7531-53de-b58b-bf5494e5bab6,1 fruit,GRAM,18.0
cc4487ec-816b-5ea6-a6ba-215c158466dc,,,4faea598-f80d-5b22-9900-e8da3a53b88b,100g phần,GRAM,100.0
59528312-d1f3-553e-ac6a-631e775ec1a4,,,4faea598-f80d-5b22-9900-e8da3a53b88b,1 fruit,GRAM,80.0
dc6cb04d-f158-5b57-ad53-cc534d926299,,,c8d7c86b-dbde-519c-a872-908235767a7b,100g phần,GRAM,100.0
f251186b-b077-5691-9890-2da7128e0e1b,,,c8d7c86b-dbde-519c-a872-908235767a7b,1 fruit,GRAM,18.0
5ba6e2c3-a639-5e89-9c6f-8e3b6180b2b1,,,d87b9bdb-013a-5a72-8840-1120c6846689,100g phần,GRAM,100.0
